breach_id,breach_location_id,scenario_id,scenario_name,return_period,discharge_m3s,breach_name,dijkring,river,damage_MEUR,victims,affected,model_resolution,initial_breach_width,max_breach_width,breach_growth_method,scenario_layer,map_id,id,breachtypes_id,dijkringareas_id,openwaters_id,name,code,x,y,notify,lt30,f30t300,f300t3000,f3000t30k,gt30k,dreigende_overstroming,geometry_type,geometry_x,geometry_y
1,1,15121,20a_Pluimpot 1/400000 Osgetij,400000,,20a_Extrabreslocatie,Dijkring 27 - Tholen en St. Philipsland,Oosterschelde,290,4,749,"25,0","10,0", ,automatisch,scenario_15121,2058,1,2,28.0,79,20a_Extrabreslocatie,PRIM,63661,394660,,0,0,0,0,1,0.0,Point,63661,394660
14,14,19091,tp-1d Maas 210,125,,Alem,Dijkring 39 - Alem,Maas,52,2,559,"100,0","-999,0", , ,scenario_19091,16584,14,2,42.0,62,Alem,PRIM,153030,421657,,0,1,1,1,0,0.0,Point,153030,421657
14,14,19092,tp Maas 210,1250,,Alem,Dijkring 39 - Alem,Maas,65,4,632,"100,0","-999,0", , ,scenario_19092,26768,14,2,42.0,62,Alem,PRIM,153030,421657,,0,1,1,1,0,0.0,Point,153030,421657
14,14,19093,tp+1d Maas 210,12500,,Alem,Dijkring 39 - Alem,Maas,81,5,632,"100,0","-999,0", , ,scenario_19093,16634,14,2,42.0,62,Alem,PRIM,153030,421657,,0,1,1,1,0,0.0,Point,153030,421657
25,25,5214,Alphen - Min decimeringshoogte,125,,Alphen,Dijkring 41 - Land van Maas en Waal,Maas,1400,212,13717,"100,0","-9999,0","210,0",vast,scenario_5214,1645,25,2,44.0,62,Alphen,PRIM,157861,425941,,0,1,1,1,0,0.0,Point,157861,425941
25,25,5308,Alphen - Standaard maatgolf,1250,,Alphen,Dijkring 41 - Land van Maas en Waal,Maas,2200,239,25027,"100,0","-9999,0","210,0",vast,scenario_5308,4888,25,2,44.0,62,Alphen,PRIM,157861,425941,,0,1,1,1,0,0.0,Point,157861,425941
25,25,5213,Alphen - Plus decimeringshoogte,12500,,Alphen,Dijkring 41 - Land van Maas en Waal,Maas,3500,282,34076,"100,0","-9999,0","210,0",vast,scenario_5213,4881,25,2,44.0,62,Alphen,PRIM,157861,425941,,0,1,1,1,0,0.0,Point,157861,425941
185,185,18312,Amsterdam Zuid TP,10000,,Amsterdam zuid,Dijkring 44 - Kromme Rijn,Noordzeekanaal,12000,317,293336,"100,0","50,0", , ,scenario_18312,4953,185,2,47.0,78,Amsterdam zuid,PRIM,122028,487923,Deze overstroming is een (mogelijk) vervolgscenario na een doorbraak (bres) bij IJmuiden.,0,0,0,1,1,0.0,Point,122028,487923
185,185,18313,Amsterdam Zuid TP+1D,100000,,Amsterdam zuid,Dijkring 44 - Kromme Rijn,Noordzeekanaal,23000,729,477807,"100,0","50,0", , ,scenario_18313,4960,185,2,47.0,78,Amsterdam zuid,PRIM,122028,487923,Deze overstroming is een (mogelijk) vervolgscenario na een doorbraak (bres) bij IJmuiden.,0,0,0,1,1,0.0,Point,122028,487923
191,191,19035,tp-1d Angeren,125,,AngerenARK,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",Pannerdensch kanaal,24000,872,298069,"100,0","-999,0", ,vast,scenario_19035,13643,191,2,46.0,83,AngerenARK,PRIM,194414,436878,,0,1,1,1,0,0.0,Point,194414,436878
191,191,21068,tp Angeren,1250,,AngerenARK,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",Pannerdensch kanaal,32000,1260,335965,"100,0","-999,0", , ,scenario_21068,26685,191,2,46.0,83,AngerenARK,PRIM,194414,436878,,0,1,1,1,0,0.0,Point,194414,436878
191,191,19036,tp+1d Angeren,12500,,AngerenARK,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",Pannerdensch kanaal,35000,1466,344660,"100,0","-999,0", ,vast,scenario_19036,26541,191,2,46.0,83,AngerenARK,PRIM,194414,436878,,0,1,1,1,0,0.0,Point,194414,436878
205,205,5209,Appeltern - Min decimeringshoogte,125,,Appeltern,Dijkring 41 - Land van Maas en Waal,Maas,5100,317,39492,"100,0","-9999,0","210,0",vast,scenario_5209,4971,205,2,44.0,62,Appeltern,PRIM,169000,427000,,0,1,1,1,0,0.0,Point,169000,427000
205,205,5207,Appeltern - Standaard maatgolf,1250,,Appeltern,Dijkring 41 - Land van Maas en Waal,Maas,6700,386,61558,"100,0","-9999,0","210,0",vast,scenario_5207,4927,205,2,44.0,62,Appeltern,PRIM,169000,427000,,0,1,1,1,0,0.0,Point,169000,427000
205,205,5208,Appeltern - Plus decimeringshoogte,12500,,Appeltern,Dijkring 41 - Land van Maas en Waal,Maas,11000,583,118307,"100,0","-9999,0","210,0",vast,scenario_5208,4978,205,2,44.0,62,Appeltern,PRIM,169000,427000,,0,1,1,1,0,0.0,Point,169000,427000
