breach_i,breach_j,gnn_score,gnn_probability
14,25,0.255193,0.019956699
14,205,0.22761202,0.015146281
14,386,0.11888293,0.005106244
14,429,0.18499921,0.009891017
14,486,0.10734311,0.004549721
14,556,0.16734108,0.008289964
14,605,0.19472681,0.010901528
14,692,0.14720236,0.006777841
14,740,0.20125991,0.0116375135
14,745,0.20053957,0.011553985
14,762,0.13400203,0.0059396797
14,974,0.23502673,0.016312016
14,1067,0.1637949,0.008001139
14,1115,0.14108883,0.0063758874
14,1128,0.336184,0.044856783
14,1218,0.22326426,0.014501868
14,1247,0.16469617,0.008073576
14,1522,0.12825479,0.005607935
14,1526,0.20393416,0.011952931
14,1546,0.14138877,0.00639504
14,1719,0.2447185,0.01797209
14,1812,0.2013525,0.011648295
14,2198,0.19753563,0.011212074
14,2519,0.16085416,0.0077692717
14,2941,0.1571998,0.0074904803
14,2942,0.16269614,0.007913706
14,3015,0.16488987,0.00808923
14,3260,0.19978645,0.011467298
25,205,0.5862983,0.029066123
25,386,0.13809803,0.00032875946
25,429,0.42310962,0.0056841797
25,486,0.14021413,0.0003357905
25,556,0.41271272,0.005122885
25,605,0.55073243,0.020366978
25,740,0.57504684,0.025973033
25,745,0.5645258,0.023379242
25,762,0.4241217,0.005742001
25,974,0.5661336,0.023758171
25,991,0.1540386,0.0003855736
25,1067,0.4819555,0.010238402
25,1115,0.2872241,0.001460577
25,1128,0.37979898,0.0036861424
25,1218,0.31330043,0.0018957127
25,1247,0.5507703,0.020374693
25,1522,0.30336732,0.0017164594
25,1526,0.55781263,0.021861278
25,1546,0.45811194,0.008066423
25,1719,0.57625455,0.026288621
25,1812,0.54007906,0.01830879
25,2198,0.562805,0.022980371
25,2519,0.517948,0.014673897
25,2941,0.51824653,0.01471777
25,2942,0.5342544,0.01727282
25,3015,0.54656553,0.019535748
25,3260,0.37766346,0.0036082587
191,381,0.48496106,0.01588569
191,491,0.09597654,0.00032483877
191,690,0.076338224,0.00026691917
191,691,0.06853461,0.0002468818
191,848,0.52210796,0.023032071
191,975,0.41891614,0.008206854
191,990,0.48088896,0.015251802
191,991,0.34942162,0.0040960554
191,1105,0.21416005,0.0010590887
191,1110,0.47598103,0.014521324
191,1114,0.4368175,0.009815701
191,1519,0.52073896,0.02271891
191,1523,0.46690243,0.01326107
191,1529,0.3619683,0.0046436065
191,1600,0.47922722,0.015000452
191,1802,0.5163772,0.021749273
191,1817,0.54980576,0.030382466
191,1947,0.45263824,0.011498203
191,2252,0.36670223,0.004868717
191,2531,0.095896445,0.00032457866
191,2554,0.20408022,0.0009575383
191,2838,0.09809065,0.00033177933
191,2944,0.46681044,0.013248872
191,3016,0.33616742,0.003587597
191,3243,0.45334262,0.01157948
191,3464,0.0806969,0.00027881062
205,381,0.526891,0.009946682
205,605,0.56425285,0.014452357
205,740,0.58190244,0.01724209
205,745,0.5786888,0.0166968
205,762,0.5179296,0.009094092
205,848,0.48923773,0.006825778
205,974,0.5800751,0.016929872
205,991,0.26218677,0.0007048266
205,1114,0.5568847,0.013425772
205,1128,0.42154554,0.0034687142
205,1218,0.3980854,0.0027433583
205,1247,0.56046677,0.0139154075
205,1522,0.44164106,0.004240747
205,1523,0.5320391,0.010472157
