source,target,distance_km,same_river,same_dijkring
0,379,0.17057549648176318,1,1
0,378,1.175837573817064,1,1
0,307,3.641577268162794,1,1
0,320,3.746939284269229,1,0
0,321,3.9564141593114335,1,0
1,102,3.207763862880184,1,0
1,227,3.3069274258743566,1,0
1,155,3.895283943437243,1,0
1,224,4.9018005875392365,1,0
1,179,5.090395760645728,0,0
2,224,1.6211730320974378,1,0
2,226,1.7582769975177406,1,0
2,486,2.360000847457475,0,0
2,227,3.3351176890778533,1,0
2,72,4.725336178516827,0,1
3,427,4.149462254316817,0,0
3,81,6.214087624100581,0,0
3,469,7.948323911366471,0,0
3,120,10.421665557865499,1,1
3,468,11.070878601086726,0,0
4,225,1.7281695518669458,1,0
4,189,2.6357427795594925,1,0
4,10,5.3307407552797015,0,1
4,235,5.990179379617943,0,1
4,145,6.141833113981526,0,0
5,46,1.698528775146303,1,0
5,298,5.348831648126533,1,0
5,77,6.772370338367506,0,1
5,184,9.08239533383127,0,0
5,194,10.570004730367911,1,0
6,301,3.074867476819123,0,1
6,499,6.10696733248181,0,1
6,85,8.682717604529126,0,1
6,435,10.725506514845815,0,1
6,105,13.36641840584081,0,0
7,8,0.6943486156103431,1,1
7,202,7.763121537113792,1,1
7,144,9.693110543060984,0,1
7,508,9.79535655297958,1,0
7,147,10.978579598472656,0,1
8,7,0.6943486156103431,1,1
8,202,8.406513665010008,1,1
8,508,9.377520034636023,1,0
8,144,10.311572527990092,0,1
8,506,11.580744578825664,0,0
9,210,0.7333137118587105,1,0
9,211,0.8102252773148959,1,0
9,212,3.2138358701091128,1,0
9,512,4.278523226535063,1,1
9,213,4.516059897742721,1,0
10,465,3.6554251462723184,1,0
10,304,5.026550009698501,1,1
10,300,5.057610502994472,1,0
10,4,5.3307407552797015,0,1
10,262,5.488545617921017,1,0
11,12,2.845961700374761,1,1
11,13,3.0132847525582442,1,1
11,492,3.409733420665023,0,0
11,491,3.5069857427711337,0,0
11,490,3.776091762656199,0,0
12,13,0.1837090090333079,1,1
12,490,2.290817539656967,0,0
12,491,2.3520512324352123,0,0
12,11,2.845961700374761,1,1
12,492,3.1947287834806883,0,0
13,12,0.1837090090333079,1,1
13,490,2.207188709648543,0,0
13,491,2.2975034276361805,0,0
13,11,3.0132847525582442,1,1
13,489,3.1157588160831704,0,0
14,569,4.434717691127587,1,1
14,564,5.3203627695863,1,1
14,586,9.376026557129624,1,1
14,537,10.499449176028236,1,0
14,548,10.656069162688464,1,1
15,152,0.6149032444214292,1,0
15,21,3.1216511656493586,0,0
15,100,5.802230691725382,1,0
15,63,6.56954381977927,1,0
15,75,7.485681398510092,0,0
16,149,0.8668344709343302,0,0
16,22,2.185668090081383,0,0
16,239,2.8649205922677856,1,1
16,208,2.9338120253349564,1,1
16,247,5.127278615406032,0,0
17,191,10.514870422406545,1,1
17,243,12.218837915284743,1,0
17,203,13.034722129757887,1,1
17,436,13.222164157202103,1,0
