breach_id,return_period,log_damage
1,400000,5.673323267171493
14,125,3.970291913552122
14,1250,4.189654742026425
14,12500,4.406719247264253
25,125,7.244941546337007
25,1250,7.696667081526462
25,12500,8.160803920954665
185,10000,9.392745258631441
185,100000,10.043292972227004
191,125,10.085850775128717
191,1250,10.373522431293592
191,12500,10.463131911491967
205,125,8.537191877922927
205,1250,8.81001204797317
205,12500,9.305741456739435
212,1250,3.6888794541139363
213,1000,6.566672429803241
213,10000,6.647688373563329
213,100000,6.7464121285733745
213,1000000,6.846943139585379
214,1000,4.709530201312334
214,10000,4.948759890378168
214,100000,5.14166355650266
214,1000000,5.25227342804663
220,125,9.472781556562168
220,1250,10.085850775128717
220,2000,10.165890277802454
381,125,10.434145214930487
381,1250,10.518700218288165
381,12500,10.596659732783579
382,200,9.392745258631441
382,2000,9.254443790963506
382,20000,8.77971129020447
383,200,7.56916638125554
383,2000,7.794807630794439
383,20000,7.741099090035366
384,200,8.037395757987298
384,2000,8.1505002271488
384,20000,8.03947991910045
385,400,2.4849066497880004
385,4000,3.1780538303479458
385,40000,3.4965075614664802
386,125,1.9459101490553132
386,1250,2.0794415416798357
386,12499,2.1972245773362196
392,125,8.131824785007195
392,1250,8.343077871169383
392,12500,8.79497643168877
393,-9999,8.24301946898925
393,125,4.709530201312334
393,1250,6.311734809152915
395,400,1.791759469228055
395,4000,3.367295829986474
395,40000,4.110873864173311
405,1250,9.852246888342531
405,12500,10.085850775128717
407,1250,2.1972245773362196
407,12500,2.302585092994046
429,-9999,8.716207971151853
429,125,6.255750041753367
429,1250,7.313886831633462
430,125,7.170888478512505
430,1250,7.3783837129967145
430,12500,7.601402334583733
435,400,5.442417710521793
435,4000,7.313886831633462
435,400000,5.916202062607435
442,2000,9.680406499268875
442,20000,9.798182590890704
443,2000,9.472781556562168
443,20000,9.61587214452889
444,2000,9.61587214452889
444,20000,9.680406499268875
486,125,9.169622538697624
486,1250,9.305741456739435
486,12500,9.305741456739435
487,1250,8.79497643168877
487,12500,8.895766604056085
490,100000,3.295836866004329
490,1000000,5.707110264748875
491,125,8.216358332386156
491,1250,8.131824785007195
491,12500,7.972810784121404
540,2000,7.244941546337007
541,4000,1.3862943611198906
541,40000,4.174387269895637
542,4000,2.995732273553991
542,40000,3.8501476017100584
543,1000,6.523562306149512
543,10000,6.769641976852503
543,100000,7.0909098220799835
543,1000000,7.313886831633462
544,100,7.496097345175956
544,1000,9.305741456739435
544,10000,9.301596978689506
544,100000,9.61587214452889
545,10000,7.696667081526462
545,100000,8.556606193773073
545,1000000,9.15915233520675
546,2000,8.79497643168877
546,20000,9.071193240566025
554,400,4.61512051684126
554,4000,4.948759890378168
554,40000,5.442417710521793
555,125,7.0909098220799835
555,1250,7.3783837129967145
555,12500,7.550135342488429
556,125,9.036106025364846
556,1250,9.392745258631441
556,12500,9.472781556562168
557,125,6.898714534329988
557,1250,7.313886831633462
557,12500,7.601402334583733
601,1250,9.90353755128617
601,12500,10.12667110305036
602,125,6.90875477931522
602,1250,7.0909098220799835
602,12500,7.170888478512505
603,125,7.741099090035366
603,1250,8.294299608857235
603,12500,9.012011377036412
604,125,6.042632833682381
604,1250,7.901377353792616
604,12500,8.881975184248867
605,-9999,10.239995502805316
605,125,8.630700432209832
605,1250,9.680406499268875
637,400,6.398594934535208
637,4000,6.508769136971682
637,40000,6.769641976852503
637,400000,7.00397413672268
638,400,6.19644412779452
638,4000,6.621405651764134
638,40000,7.00397413672268
638,400000,7.313886831633462
639,400,6.415096959171596
639,4000,7.244941546337007
639,40000,7.601402334583733
639,400000,8.24301946898925
640,400,6.710523109452428
640,4000,7.0909098220799835
640,40000,7.3783837129967145
640,400000,7.783640596221253
641,400,5.968707559985366
641,4000,7.313886831633462
641,40000,7.650168700845001
641,400000,7.972810784121404
642,400,4.499809670330265
642,4000,4.605170185988092
642,40000,5.198497031265826
642,400000,6.175867270105761
643,400,5.5254529391317835
643,4000,5.638354669333745
643,40000,6.018593214496234
643,400000,6.415096959171596
644,400,5.14166355650266
644,4000,5.442417710521793
644,40000,5.673323267171493
644,400000,5.993961427306569
645,400,5.442417710521793
645,4000,6.3818160174060985
645,40000,6.85751406254539
645,400000,7.496097345175956
646,400,5.831882477283517
646,4000,6.85751406254539
646,40000,7.00397413672268
646,400000,7.496097345175956
647,400,7.313886831633462
647,4000,9.127067452782361
647,40000,9.392745258631441
647,400000,9.61587214452889
648,400,6.3818160174060985
648,4000,8.699681400989514
648,40000,8.839421607620602
648,400000,8.962007209588313
649,400,5.771441123130016
