breach_id,geometry_x,geometry_y,river,dijkring,breach_name,initial_breach_width,breach_growth_method
1,63661,394660,Oosterschelde,Dijkring 27 - Tholen en St. Philipsland,20a_Extrabreslocatie,"10,0",automatisch
14,153030,421657,Maas,Dijkring 39 - Alem,Alem,"-999,0", 
25,157861,425941,Maas,Dijkring 41 - Land van Maas en Waal,Alphen,"-9999,0",vast
185,122028,487923,Noordzeekanaal,Dijkring 44 - Kromme Rijn,Amsterdam zuid,"50,0", 
191,194414,436878,Pannerdensch kanaal,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",AngerenARK,"-999,0",vast
205,169000,427000,Maas,Dijkring 41 - Land van Maas en Waal,Appeltern,"-9999,0",vast
212,158457,473953,Eemmeer/Nijkerkernauw,Dijkring 45 - Gelderse Vallei,Arkenheemse zeedijk,"50,0",vast
213,119981,544866,Waddenzee,Dijkring 13 - Noord-Holland,BALGZANDDIJK_7,"10,0", 
214,120619,544592,Waddenzee,Dijkring 13 - Noord-Holland,BALGZANDDIJK_8,"10,0", 
220,136084,446207,Lek,Dijkring 44 - Kromme Rijn,Beatrixsluizen-A27,"-9999,0",automatisch
381,190563,433192,Waal,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",BemmelARK,"-999,0",vast
382,113363,425590,Beneden Merwede,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede km 968.2 (dkr16 AW063),"10,0",automatisch
383,110646,426437,Beneden Merwede,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede km 971.2 (dkr16 AW079),"10,0",automatisch
384,110464,426412,Beneden Merwede,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede km 971.4 (dkr16 AW080),"10,0",automatisch
385,76554,370229,Westerschelde,Dijkring 32 - Zeeuwsch Vlaanderen,BeOost - 13,"10,0", 
386,140135,417559,Bergsche Maas,Dijkring 37 - Nederhemert,Bergsche Maas,"-999,0", 
392,206957,504240,Overijsselse Vecht,Dijkring 53 - Salland,Berkum,"20,0",vast
393,193550,408750,Maas,Dijkring 36 - Land van Heusden/de Maaskant,Beugen,"35,0", 
395,14685,376278,Noordzee,Dijkring 32 - Zeeuwsch Vlaanderen,BeWest - 7,"10,0", 
405,233849,410264,Boven Rijn,Dijkring 48 - Rijn en IJssel,Bislich2,"-999,0", 
407,132686,483238,Markermeer,Dijkring 44 - Kromme Rijn,Bloemendalerpolder,"10,0",automatisch
