split,model,MAE,RMSE,R2
1,Return-period,1.516749500853015,1.8928669926306965,0.3224022699967869
1,Spatial neighbour,1.144757585360055,1.4431164418751132,0.6061466937073403
1,Random Forest,1.2576980252419214,1.5811094363289075,0.5272237981702759
2,Return-period,1.6594925394443005,2.1088030510212525,0.13601408178841123
2,Spatial neighbour,1.2530290419779366,1.7384128983620242,0.4128615893758629
2,Random Forest,1.262421426604125,1.7423659260771394,0.41018833116701514
3,Return-period,1.7116931234196158,2.0684179852761524,0.29627731801064616
3,Spatial neighbour,1.3249823556349045,1.7159452065067462,0.5156807064494517
3,Random Forest,1.2789636599982401,1.6536652133914729,0.5501993075168312
4,Return-period,1.5515052584984599,1.8948423759384192,0.31183601938015426
4,Spatial neighbour,1.211062937504359,1.603197130840959,0.5073714086692112
4,Random Forest,1.2300903995543004,1.610740179812942,0.5027248642976001
5,Return-period,1.737895414626079,2.1820383693153484,0.17698606777290504
5,Spatial neighbour,1.3904879639678052,1.8796752848646272,0.38927164597478137
5,Random Forest,1.3296561278780947,1.7734080514162212,0.4563745591966284
